id,name,types,abilities,sprite_url,hp,attack,defense,special-attack,special-defense,speed,special_category,has_mega,mega_name,mega_sprite_url,mega_types,mega_abilities,mega_hp,mega_attack,mega_defense,mega_special-attack,mega_special-defense,mega_speed,has_mega_2,mega_2_name,mega_2_sprite_url,mega_2_types,mega_2_abilities,mega_2_hp,mega_2_attack,mega_2_defense,mega_2_special-attack,mega_2_special-defense,mega_2_speed
26,raichu,electric,"static,lightning-rod",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,60,90,55,90,80,110,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
27,sandshrew,ground,"sand-veil,sand-rush",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,50,75,85,20,30,40,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
28,sandslash,ground,"sand-veil,sand-rush",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,75,100,110,45,55,65,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
29,nidoran-f,poison,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,55,47,52,40,40,41,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
30,nidorina,poison,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,70,62,67,55,55,56,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
31,nidoqueen,"poison,ground","poison-point,rivalry,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,90,92,87,75,85,76,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
32,nidoran-m,poison,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,46,57,40,40,40,50,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
33,nidorino,poison,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,61,72,57,55,55,65,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
34,nidoking,"poison,ground","poison-point,rivalry,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,81,102,77,85,75,85,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
35,clefairy,fairy,"cute-charm,magic-guard,friend-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,70,45,48,60,65,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
36,clefable,fairy,"cute-charm,magic-guard,unaware",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,95,70,73,95,90,60,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
37,vulpix,fire,"flash-fire,drought",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,38,41,40,50,65,65,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
38,ninetales,fire,"flash-fire,drought",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,73,76,75,81,100,100,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
39,jigglypuff,"normal,fairy","cute-charm,competitive,friend-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,115,45,20,45,25,20,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
40,wigglytuff,"normal,fairy","cute-charm,competitive,frisk",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,140,70,45,85,50,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
41,zubat,"poison,flying","inner-focus,infiltrator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,40,45,35,30,40,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
42,golbat,"poison,flying","inner-focus,infiltrator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,75,80,70,65,75,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
43,oddish,"grass,poison","chlorophyll,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,45,50,55,75,65,30,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
44,gloom,"grass,poison","chlorophyll,stench",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,60,65,70,85,75,40,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
45,vileplume,"grass,poison","chlorophyll,effect-spore",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,75,80,85,110,90,50,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
46,paras,"bug,grass","effect-spore,dry-skin,damp",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,35,70,55,45,55,25,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
47,parasect,"bug,grass","effect-spore,dry-skin,damp",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,60,95,80,60,80,30,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
48,venonat,"bug,poison","compound-eyes,tinted-lens,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,60,55,50,40,55,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
49,venomoth,"bug,poison","shield-dust,tinted-lens,wonder-skin",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,70,65,60,90,75,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
50,diglett,ground,"sand-veil,arena-trap,sand-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,10,55,25,35,45,95,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
51,dugtrio,ground,"sand-veil,arena-trap,sand-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,35,100,50,50,70,120,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
52,meowth,normal,"pickup,technician,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,40,45,35,40,40,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
53,persian,normal,"limber,technician,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,65,70,60,65,65,115,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
54,psyduck,water,"damp,cloud-nine,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,50,52,48,65,50,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
55,golduck,water,"damp,cloud-nine,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,80,82,78,95,80,85,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
56,mankey,fighting,"vital-spirit,anger-point,defiant",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,40,80,35,35,45,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
57,primeape,fighting,"vital-spirit,anger-point,defiant",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,65,105,60,60,70,95,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
58,growlithe,fire,"intimidate,flash-fire,justified",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,55,70,45,70,50,60,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
59,arcanine,fire,"intimidate,flash-fire,justified",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,90,110,80,100,80,95,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
60,poliwag,water,"water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,40,50,40,40,40,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
61,poliwhirl,water,"water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,65,65,65,50,50,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
62,poliwrath,"water,fighting","water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,90,95,95,70,90,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
63,abra,psychic,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,25,20,15,105,55,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
64,kadabra,psychic,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,40,35,30,120,70,105,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
65,alakazam,psychic,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,55,50,45,135,95,120,,TRUE,alakazam-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10037.png,psychic,trace,55,50,65,175,105,150,FALSE,,,,,,,,,,
66,machop,fighting,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,70,80,50,35,35,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
67,machoke,fighting,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,80,100,70,50,60,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
68,machamp,fighting,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,90,130,80,65,85,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
69,bellsprout,"grass,poison","chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,50,75,35,70,30,40,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
70,weepinbell,"grass,poison","chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,65,90,50,85,45,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
71,victreebel,"grass,poison","chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,80,105,65,100,70,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
72,tentacool,"water,poison","clear-body,liquid-ooze,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,40,40,35,50,100,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
73,tentacruel,"water,poison","clear-body,liquid-ooze,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,80,70,65,80,120,100,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
74,geodude,"rock,ground","rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,40,80,100,30,30,20,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
75,graveler,"rock,ground","rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,55,95,115,45,45,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
76,golem,"rock,ground","rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,80,120,130,55,65,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
77,ponyta,fire,"run-away,flash-fire,flame-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,50,85,55,65,65,90,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
78,rapidash,fire,"run-away,flash-fire,flame-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,65,100,70,80,80,105,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
79,slowpoke,"water,psychic","oblivious,own-tempo,regenerator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,90,65,65,40,40,15,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
80,slowbro,"water,psychic","oblivious,own-tempo,regenerator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,95,75,110,100,80,30,,TRUE,slowbro-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10071.png,"water,psychic",shell-armor,95,75,180,130,80,30,FALSE,,,,,,,,,,
81,magnemite,"electric,steel","magnet-pull,sturdy,analytic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,25,35,70,95,55,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
82,magneton,"electric,steel","magnet-pull,sturdy,analytic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,50,60,95,120,70,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
83,farfetchd,"normal,flying","keen-eye,inner-focus,defiant",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,52,90,55,58,62,60,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
84,doduo,"normal,flying","run-away,early-bird,tangled-feet",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,35,85,45,35,35,75,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
85,dodrio,"normal,flying","run-away,early-bird,tangled-feet",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,60,110,70,60,60,110,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
86,seel,water,"thick-fat,hydration,ice-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,65,45,55,45,70,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
87,dewgong,"water,ice","thick-fat,hydration,ice-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,90,70,80,70,95,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
88,grimer,poison,"stench,sticky-hold,poison-touch",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,80,80,50,40,50,25,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
89,muk,poison,"stench,sticky-hold,poison-touch",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,105,105,75,65,100,50,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
90,shellder,water,"shell-armor,skill-link,overcoat",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,30,65,100,45,25,40,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
91,cloyster,"water,ice","shell-armor,skill-link,overcoat",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,50,95,180,85,45,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
92,gastly,"ghost,poison",levitate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,30,35,30,100,35,80,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
93,haunter,"ghost,poison",levitate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,45,50,45,115,55,95,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
94,gengar,"ghost,poison",cursed-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,60,65,60,130,75,110,,TRUE,gengar-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10038.png,"ghost,poison",shadow-tag,60,65,80,170,95,130,FALSE,,,,,,,,,,
95,onix,"rock,ground","rock-head,sturdy,weak-armor",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,35,45,160,30,45,70,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
96,drowzee,psychic,"insomnia,forewarn,inner-focus",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,60,48,45,43,90,42,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
97,hypno,psychic,"insomnia,forewarn,inner-focus",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,85,73,70,73,115,67,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
98,krabby,water,"hyper-cutter,shell-armor,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,30,105,90,25,25,50,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
99,kingler,water,"hyper-cutter,shell-armor,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,55,130,115,50,50,75,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
100,voltorb,electric,"soundproof,static,aftermath",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,40,30,50,55,55,100,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
101,electrode,electric,"soundproof,static,aftermath",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,60,50,70,80,80,150,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
102,exeggcute,"grass,psychic","chlorophyll,harvest",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,60,40,80,60,45,40,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
103,exeggutor,"grass,psychic","chlorophyll,harvest",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,95,95,85,125,75,55,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
104,cubone,ground,"rock-head,lightning-rod,battle-armor",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,50,50,95,40,50,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
105,marowak,ground,"rock-head,lightning-rod,battle-armor",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,60,80,110,50,80,45,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
106,hitmonlee,fighting,"limber,reckless,unburden",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,50,120,53,35,110,87,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
107,hitmonchan,fighting,"keen-eye,iron-fist,inner-focus",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,50,105,79,35,110,76,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
108,lickitung,normal,"own-tempo,oblivious,cloud-nine",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,90,55,75,60,75,30,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
109,koffing,poison,"levitate,neutralizing-gas,stench",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,40,65,95,60,45,35,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
110,weezing,poison,"levitate,neutralizing-gas,stench",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,65,90,120,85,70,60,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,
